OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
THURAYA-4,2025-001A,2025-01-21T18:00:00.000000,1.26418201,.7658322,20.3998,318.6966,181.7701,306.5259,0,U,62483,999,1,0,-.297E-5,0
FALCON 9 R/B,2025-001B,2025-01-24T03:45:33.118848,1.41661072,.7974052,26.6957,317.3320,184.2121,157.9418,0,U,62484,999,28,.20399E-2,.55E-6,0
SHIJIAN-25 (SJ-25),2025-002A,2025-01-25T23:13:47.741952,1.00272383,.0056414,10.2296,43.6051,183.4768,6.9561,0,U,62485,999,28,0,-.357E-5,0
CZ-3B R/B,2025-002B,2025-01-25T21:04:42.766464,2.23473482,.7355958,28.5374,37.0362,190.6809,134.1410,0,U,62486,999,43,.62147E-3,.3385E-3,-.11067E-6
STARLINK-32713,2025-003A,2025-01-25T22:00:01.999584,15.59856732,.0001273,43.0009,77.8273,271.9436,287.3879,0,U,62487,999,410,-.19184E-1,-.1422736E-1,0
STARLINK-32732,2025-003B,2025-01-25T22:00:01.999584,15.59852614,.000123,43.0009,77.8215,273.2913,287.9587,0,U,62488,999,410,-.19093E-1,-.1416448E-1,0
STARLINK-32328,2025-003C,2025-01-25T22:00:01.999584,15.59852817,.0001251,43.0009,77.8118,272.2377,292.8465,0,U,62489,999,426,-.19097E-1,-.1416734E-1,0
STARLINK-32332,2025-003D,2025-01-25T22:00:01.999584,15.59853461,.0001239,43.0010,77.8169,272.0466,291.1202,0,U,62490,999,426,-.19109E-1,-.141756E-1,0
STARLINK-32717,2025-003E,2025-01-25T22:00:01.999584,15.59851568,.0001245,43.0009,77.8067,272.1596,294.8426,0,U,62491,999,426,-.1908E-1,-.1415536E-1,0
STARLINK-32757,2025-003F,2025-01-25T22:00:01.999584,15.59851816,.0001249,43.0009,77.8019,271.6241,297.2951,0,U,62492,999,410,-.19085E-1,-.1415883E-1,0
STARLINK-32731,2025-003G,2025-01-25T22:00:01.999584,15.59852553,.0001215,43.0009,77.7922,270.9993,301.7533,0,U,62493,999,426,-.19094E-1,-.1416505E-1,0
STARLINK-32694,2025-003H,2025-01-25T22:00:01.999584,15.59852741,.0001245,43.0010,77.7971,271.6908,299.1447,0,U,62494,999,426,-.19097E-1,-.1416727E-1,0
STARLINK-32708,2025-003J,2025-01-25T22:00:01.999584,15.59851454,.0001246,43.0010,77.7874,270.7471,303.9236,0,U,62495,999,415,-.19079E-1,-.1415464E-1,0
STARLINK-32718,2025-003K,2025-01-25T22:00:01.999584,15.59855326,.0001339,43.0009,77.7829,271.0737,305.5125,0,U,62496,999,410,-.19167E-1,-.1421563E-1,0
STARLINK-32729,2025-003L,2025-01-25T22:00:01.999584,15.59851906,.0001253,43.0010,77.7772,270.6493,307.8551,0,U,62497,999,426,-.19084E-1,-.1415823E-1,0
STARLINK-32739,2025-003M,2025-01-25T22:00:01.999584,15.59852732,.000125,43.0010,77.7723,270.7800,309.6406,0,U,62498,999,421,-.19094E-1,-.1416529E-1,0
STARLINK-32714,2025-003N,2025-01-25T22:00:01.999584,15.59852269,.0001263,43.0010,77.7673,269.8574,312.4810,0,U,62499,999,426,-.19091E-1,-.1416312E-1,0
STARLINK-32685,2025-003P,2025-01-25T22:00:01.999584,15.59852729,.0001247,43.0010,77.7625,271.0528,313.2015,0,U,62500,999,421,-.19087E-1,-.1416061E-1,0
STARLINK-32691,2025-003Q,2025-01-25T22:00:01.999584,15.59852387,.0001212,43.0009,77.7572,269.4183,316.7537,0,U,62501,999,426,-.19087E-1,-.1416029E-1,0
STARLINK-32788,2025-003R,2025-01-25T22:00:01.999584,15.59854710,.000138,43.0009,77.7519,267.4118,320.6772,0,U,62502,999,399,-.19147E-1,-.1420217E-1,0
STARLINK-32768,2025-003S,2025-01-25T22:00:01.999584,15.59852352,.0001331,43.0009,77.7474,270.8599,319.1461,0,U,62503,999,415,-.19085E-1,-.1415945E-1,0
STARLINK-32792,2025-003T,2025-01-25T22:00:01.999584,15.59850569,.0001292,43.0008,77.7422,270.1502,321.7744,0,U,62504,999,411,-.19061E-1,-.141424E-1,0
STARLINK-32725,2025-003U,2025-01-25T22:00:01.999584,15.63887859,.0001358,43.0008,77.2564,277.2229,149.9127,0,U,62505,999,415,-.21428E-1,-.1840845E-1,0
STARLINK-32681,2025-003V,2025-01-25T22:00:01.999584,15.80875773,.0001418,42.9996,75.7740,273.2019,21.1556,0,U,62506,999,426,-.10336E-3,-.21112E-3,0
STARLINK-32679,2025-003W,2025-01-25T22:00:01.999584,15.66822779,.000124,43.0008,77.0366,277.5761,237.2724,0,U,62507,999,426,-.14886E-1,-.1452665E-1,0
STARLINK-32749,2025-003X,2025-01-25T22:00:01.999584,15.59851814,.0001291,43.0010,77.7327,269.8488,325.9090,0,U,62508,999,415,-.19078E-1,-.1415434E-1,0
STARLINK-32744,2025-003Y,2025-01-25T22:00:01.999584,15.59856353,.0001396,43.0009,77.7278,268.9756,328.6975,0,U,62509,999,416,-.19179E-1,-.1422438E-1,0
STARLINK-32701,2025-003Z,2025-01-25T22:00:01.999584,15.59850637,.0001282,43.0009,77.7234,269.4941,330.0986,0,U,62510,999,415,-.19059E-1,-.1414105E-1,0
STARLINK-11452 [DTC],2025-004A,2025-01-25T22:00:01.999584,15.77836947,.0001247,42.9992,10.5831,249.8739,160.9492,0,U,62511,999,398,.17757E-3,.30485E-3,0
STARLINK-11443 [DTC],2025-004B,2025-01-25T22:00:01.999584,15.77852176,.0001794,43.0001,10.5142,263.5716,174.9983,0,U,62512,999,398,.43357E-5,.255E-5,0
STARLINK-11440 [DTC],2025-004C,2025-01-25T22:00:01.999584,15.77998952,.0001424,43.0018,10.4455,262.5664,203.6046,0,U,62513,999,399,-.57812E-3,-.100564E-2,0
STARLINK-11514 [DTC],2025-004D,2025-01-25T22:00:01.999584,15.78082893,.0001905,43.0043,10.3761,268.6830,225.2606,0,U,62514,999,399,-.19825E-2,-.335705E-2,0
STARLINK-11508 [DTC],2025-004E,2025-01-25T22:00:01.999584,15.80836454,.0001772,43.0060,10.3169,272.5280,245.0807,0,U,62515,999,399,-.57815E-2,-.1023994E-1,0
STARLINK-11510 [DTC],2025-004F,2025-01-25T22:47:58.208928,15.83772088,.0003417,43.0057,10.0818,256.3240,103.7252,0,U,62516,999,306,-.43192E-3,-.98299E-3,0
